title,description,event_format,language,url,date_start,date_finish,cme,status
International Conference on Ophthalmology Novel Approaches in May 2021 in Barcelona,May 2021 in Barcelona,online,English,https://waset.org/ophthalmology-novel-approaches-conference-in-may-2021-in-barcelona,2021-05-24,2021-05-25,0,confirmed
International Conference on Ophthalmology and  Optometry and Vision Sciences in May 2021 in Montreal,May 2021 in Montreal,online,English,https://waset.org/ophthalmology-optometry-and-vision-sciences-conference-in-may-2021-in-montreal,2021-05-24,2021-05-25,0,confirmed
International Conference on Ophthalmology and  Optometry and Vision Science in May 2021 in Tokyo,May 2021 in Tokyo,online,English,https://waset.org/ophthalmology-optometry-and-vision-science-conference-in-may-2021-in-tokyo,2021-05-27,2021-05-28,0,confirmed
International Conference on Ophthalmology and Corneal Diseases in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ophthalmology-and-corneal-diseases-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ophthalmology and Glaucoma Filtering in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ophthalmology-and-glaucoma-filtering-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ophthalmology and Optics in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ophthalmology-and-optics-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ophthalmology and Pharmaceuticals in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ophthalmology-and-pharmaceuticals-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ocular Pharmacology and Ophthalmic Genetics in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ocular-pharmacology-and-ophthalmic-genetics-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ophthalmic Genetics and Ocular Microbiology in June 2021 in San Francisco,June 2021 in San Francisco,online,English,https://waset.org/ophthalmic-genetics-and-ocular-microbiology-conference-in-june-2021-in-san-francisco,2021-06-07,2021-06-08,0,confirmed
International Conference on Ophthalmology Practice and Surgery in June 2021 in San Francisco,June 2021 in San Francisco,online,English,https://waset.org/ophthalmology-practice-and-surgery-conference-in-june-2021-in-san-francisco,2021-06-07,2021-06-08,0,confirmed
International Conference on Clinical and Medical Sciences in June 2021 in Barcelona,June 2021 in Barcelona,online,English,https://waset.org/clinical-and-medical-sciences-conference-in-june-2021-in-barcelona,2021-06-10,2021-06-11,0,confirmed
International Conference on Management of Glaucoma in June 2021 in Barcelona,June 2021 in Barcelona,online,English,https://waset.org/management-of-glaucoma-conference-in-june-2021-in-barcelona,2021-06-10,2021-06-11,0,confirmed
International Conference on Oculoplastic and Lacrimal Surgery in June 2021 in Copenhagen,June 2021 in Copenhagen,online,English,https://waset.org/oculoplastic-and-lacrimal-surgery-conference-in-june-2021-in-copenhagen,2021-06-10,2021-06-11,0,confirmed
International Conference on Ophthalmology and  Vision Anomalies  Therapy and Care in June 2021 in Tokyo,June 2021 in Tokyo,online,English,https://waset.org/ophthalmology-vision-anomalies-therapy-and-care-conference-in-june-2021-in-tokyo,2021-06-10,2021-06-11,0,confirmed
International Conference on Ophthalmology and Visual Sciences in June 2021 in Barcelona,June 2021 in Barcelona,online,English,https://waset.org/ophthalmology-and-visual-sciences-conference-in-june-2021-in-barcelona,2021-06-10,2021-06-11,0,confirmed
International Conference on Superior Oblique Palsy and Ophthalmology in June 2021 in Toronto,June 2021 in Toronto,online,English,https://waset.org/superior-oblique-palsy-and-ophthalmology-conference-in-june-2021-in-toronto,2021-06-15,2021-06-16,0,confirmed
International Conference on Radiology and Imaging in June 2021 in Riga,June 2021 in Riga,online,English,https://waset.org/radiology-and-imaging-conference-in-june-2021-in-riga,2021-06-17,2021-06-18,0,confirmed
International Conference on Corneal Neovascularization and Eye Diseases in June 2021 in Vienna,June 2021 in Vienna,online,English,https://waset.org/corneal-neovascularization-and-eye-diseases-conference-in-june-2021-in-vienna,2021-06-21,2021-06-22,0,confirmed
International Conference on Ophthalmology and Vision Science in June 2021 in Vienna,June 2021 in Vienna,online,English,https://waset.org/ophthalmology-and-vision-science-conference-in-june-2021-in-vienna,2021-06-21,2021-06-22,0,confirmed
International Conference on Ocular Oncology and Pharmacology in June 2021 in Oslo,June 2021 in Oslo,online,English,https://waset.org/ocular-oncology-and-pharmacology-conference-in-june-2021-in-oslo,2021-06-24,2021-06-25,0,confirmed
International Conference on Ophthalmology: Exotropia and Esotropia in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-exotropia-and-esotropia-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology and  Optometry and Eye Care in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-optometry-and-eye-care-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology Practice in June 2021 in Istanbul,June 2021 in Istanbul,online,English,https://waset.org/ophthalmology-practice-conference-in-june-2021-in-istanbul,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmic Research in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmic-research-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmic Research and Drug Delivery in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmic-research-and-drug-delivery-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology and  Therapy and Care in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-therapy-and-care-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology and Visual Field Loss in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-and-visual-field-loss-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology and Vision Research in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-and-vision-research-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on General Ophthalmology in June 2021 in Dubai,June 2021 in Dubai,online,English,https://waset.org/general-ophthalmology-conference-in-june-2021-in-dubai,2021-06-29,2021-06-30,0,confirmed
International Conference on Corneal Degeneration and Ocular Infections in July 2021 in Singapore,July 2021 in Singapore,online,English,https://waset.org/corneal-degeneration-and-ocular-infections-conference-in-july-2021-in-singapore,2021-07-05,2021-07-06,0,confirmed
International Conference on Ocular and Systemic Side Effects of Drugs in July 2021 in Singapore,July 2021 in Singapore,online,English,https://waset.org/ocular-and-systemic-side-effects-of-drugs-conference-in-july-2021-in-singapore,2021-07-05,2021-07-06,0,confirmed
International Conference on Corneal Erosion and Degeneration in July 2021 in Prague,July 2021 in Prague,online,English,https://waset.org/corneal-erosion-and-degeneration-conference-in-july-2021-in-prague,2021-07-08,2021-07-09,0,confirmed
International Conference on Corneal Neovascularization and Pathophysiology of Glaucoma in July 2021 in Prague,July 2021 in Prague,online,English,https://waset.org/corneal-neovascularization-and-pathophysiology-of-glaucoma-conference-in-july-2021-in-prague,2021-07-08,2021-07-09,0,confirmed
International Conference on External Ophthalmoplegia in July 2021 in Prague,July 2021 in Prague,online,English,https://waset.org/external-ophthalmoplegia-conference-in-july-2021-in-prague,2021-07-08,2021-07-09,0,confirmed
International Conference on Miscellaneous Corneal Disorders in July 2021 in Prague,July 2021 in Prague,online,English,https://waset.org/miscellaneous-corneal-disorders-conference-in-july-2021-in-prague,2021-07-08,2021-07-09,0,confirmed
International Conference on Corneal Degeneration and Ophthalmic Drugs in July 2021 in Bali,July 2021 in Bali,online,English,https://waset.org/corneal-degeneration-and-ophthalmic-drugs-conference-in-july-2021-in-bali,2021-07-15,2021-07-16,0,confirmed
International Conference on Recurrent Corneal Erosion in July 2021 in Stockholm,July 2021 in Stockholm,online,English,https://waset.org/recurrent-corneal-erosion-conference-in-july-2021-in-stockholm,2021-07-15,2021-07-16,0,confirmed
International Conference on Tomography in Ocular Adnexae Lymphoma in July 2021 in Stockholm,in July 2021 in Stockholm,online,English,https://waset.org/tomography-in-ocular-adnexae-lymphoma-conference-in-july-2021-in-stockholm,2021-07-15,2021-07-16,0,confirmed
International Conference on Genetic Eye Diseases and Corneal Reshaping in July 2021 in Paris,July 2021 in Paris,online,English,https://waset.org/genetic-eye-diseases-and-corneal-reshaping-conference-in-july-2021-in-paris,2021-07-19,2021-07-20,0,confirmed
International Conference on Health and Medicine Research in July 2021 in Toronto,July 2021 in Toronto,online,English,https://waset.org/health-and-medicine-research-conference-in-july-2021-in-toronto,2021-07-19,2021-07-20,0,confirmed
International Conference on Retinal Cell Biology and Advances in Ophthalmic Drugs in July 2021 in Toronto,in July 2021 in Toronto,online,English,https://waset.org/retinal-cell-biology-and-advances-in-ophthalmic-drugs-conference-in-july-2021-in-toronto,2021-07-19,2021-07-20,0,confirmed
International Conference on Retinopathy of Prematurity Ophthalmologic Approach in July 2021 in Toronto,July 2021 in Toronto,online,English,https://waset.org/retinopathy-of-prematurity-ophthalmologic-approach-conference-in-july-2021-in-toronto,2021-07-19,2021-07-20,0,confirmed
International Conference on Retina and Retinal Disorders in July 2021 in Toronto,July 2021 in Toronto,online,English,https://waset.org/retina-and-retinal-disorders-conference-in-july-2021-in-toronto,2021-07-19,2021-07-20,0,confirmed
International Conference on Biomedical and Health Research in July 2021 in Berlin,July 2021 in Berlin,online,English,https://waset.org/biomedical-and-health-research-conference-in-july-2021-in-berlin,2021-07-22,2021-07-23,0,confirmed
International Conference on Optometry and Vision Care in July 2021 in Tokyo,July 2021 in Tokyo,online,English,https://waset.org/optometry-and-vision-care-conference-in-july-2021-in-tokyo,2021-07-22,2021-07-23,0,confirmed
International Conference on Medicine and Health Sciences in July 2021 in Zurich,July 2021 in Zurich,online,English,https://waset.org/medicine-and-health-sciences-conference-in-july-2021-in-zurich,2021-07-29,2021-07-30,0,confirmed
International Conference on Neuro Ophthalmology in July 2021 in Dubai,July 2021 in Dubai,online,English,https://waset.org/neuro-ophthalmology-conference-in-july-2021-in-dubai,2021-07-29,2021-07-30,0,confirmed
International Conference on Ophthalmology and Low Vision in July 2021 in Dubai,July 2021 in Dubai,online,English,https://waset.org/ophthalmology-and-low-vision-conference-in-july-2021-in-dubai,2021-07-29,2021-07-30,0,confirmed
International Conference on Community Ophthalmology in August 2021 in Amsterdam,August 2021 in Amsterdam,online,English,https://waset.org/community-ophthalmology-conference-in-august-2021-in-amsterdam,2021-08-05,2021-08-06,0,confirmed
International Conference on Immunotherapy and Ophthalmology in August 2021 in Montreal,August 2021 in Montreal,online,English,https://waset.org/immunotherapy-and-ophthalmology-conference-in-august-2021-in-montreal,2021-08-05,2021-08-06,0,confirmed
International Conference on Ophthalmology: Retinal Disorders in August 2021 in Amsterdam,August 2021 in Amsterdam,online,English,https://waset.org/ophthalmology-retinal-disorders-conference-in-august-2021-in-amsterdam,2021-08-05,2021-08-06,0,confirmed
International Conference on Choroidal Imaging and Corneal Reshaping in August 2021 in Lagos,August 2021 in Lagos,online,English,https://waset.org/choroidal-imaging-and-corneal-reshaping-conference-in-august-2021-in-lagos,2021-08-09,2021-08-10,0,confirmed
International Conference on Ophthalmology and  Eye and Vision in August 2021 in New York,August 2021 in New York,online,English,https://waset.org/ophthalmology-eye-and-vision-conference-in-august-2021-in-new-york,2021-08-09,2021-08-10,0,confirmed
International Conference on Ophthalmology and  Optometry and Vision Care in August 2021 in New York,August 2021 in New York,online,English,https://waset.org/ophthalmology-optometry-and-vision-care-conference-in-august-2021-in-new-york,2021-08-09,2021-08-10,0,confirmed
International Conference on Ophthalmology and  Optometry and Vision Development in August 2021 in New York,August 2021 in New York,online,English,https://waset.org/ophthalmology-optometry-and-vision-development-conference-in-august-2021-in-new-york,2021-08-09,2021-08-10,0,confirmed
International Conference on Ophthalmology Practices Management in August 2021 in New York,August 2021 in New York,online,English,https://waset.org/ophthalmology-practices-management-conference-in-august-2021-in-new-york,2021-08-09,2021-08-10,0,confirmed
International Conference on Ophthalmology and Retinopathy in August 2021 in New York,August 2021 in New York,online,English,https://waset.org/ophthalmology-and-retinopathy-conference-in-august-2021-in-new-york,2021-08-09,2021-08-10,0,confirmed
International Conference on Ophthalmology and Retinal Occlusion in August 2021 in New York,August 2021 in New York,online,English,https://waset.org/ophthalmology-and-retinal-occlusion-conference-in-august-2021-in-new-york,2021-08-09,2021-08-10,0,confirmed
International Conference on Ophthalmology and Retinal Tumors in August 2021 in New York,August 2021 in New York,online,English,https://waset.org/ophthalmology-and-retinal-tumors-conference-in-august-2021-in-new-york,2021-08-09,2021-08-10,0,confirmed
International Conference on Ophthalmology and Vision in August 2021 in New York,August 2021 in New York,online,English,https://waset.org/ophthalmology-and-vision-conference-in-august-2021-in-new-york,2021-08-09,2021-08-10,0,confirmed
International Conference on Ophthalmology and Vision Correction in August 2021 in New York,August 2021 in New York,online,English,https://waset.org/ophthalmology-and-vision-correction-conference-in-august-2021-in-new-york,2021-08-09,2021-08-10,0,confirmed
International Conference on Treatments of Corneal Diseases in August 2021 in Lagos,August 2021 in Lagos,online,English,https://waset.org/treatments-of-corneal-diseases-conference-in-august-2021-in-lagos,2021-08-09,2021-08-10,0,confirmed
International Conference on Corneal Degeneration and Erosion in August 2021 in Dubai,August 2021 in Dubai,online,English,https://waset.org/corneal-degeneration-and-erosion-conference-in-august-2021-in-dubai,2021-08-16,2021-08-17,0,confirmed
International Conference on Corneal Disorders and Neovascularization in August 2021 in Dubai,August 2021 in Dubai,online,English,https://waset.org/corneal-disorders-and-neovascularization-conference-in-august-2021-in-dubai,2021-08-16,2021-08-17,0,confirmed
International Conference on Eye Disorders in August 2021 in Barcelona,August 2021 in Barcelona,online,English,https://waset.org/eye-disorders-conference-in-august-2021-in-barcelona,2021-08-16,2021-08-17,0,confirmed
International Conference on Eye Disease and Ophthalmic Drug Delivery Systems in August 2021 in Barcelona,August 2021 in Barcelona,online,English,https://waset.org/eye-disease-and-ophthalmic-drug-delivery-systems-conference-in-august-2021-in-barcelona,2021-08-16,2021-08-17,0,confirmed
International Conference on Medical and  Medicine and Health Sciences in August 2021 in Barcelona,August 2021 in Barcelona,online,English,https://waset.org/medical-medicine-and-health-sciences-conference-in-august-2021-in-barcelona,2021-08-16,2021-08-17,0,confirmed
International Conference on Oculoplastic Surgery in August 2021 in Tokyo,August 2021 in Tokyo,online,English,https://waset.org/oculoplastic-surgery-conference-in-august-2021-in-tokyo,2021-08-16,2021-08-17,0,confirmed
International Conference on Ophthalmology and  Vision and Visual Disorders in August 2021 in Dubai,August 2021 in Dubai,online,English,https://waset.org/ophthalmology-vision-and-visual-disorders-conference-in-august-2021-in-dubai,2021-08-16,2021-08-17,0,confirmed
International Conference on Science and Engineering in Medical Research and Innovation in August 2021 in Tokyo,in August 2021 in Tokyo,online,English,https://waset.org/science-and-engineering-in-medical-research-and-innovation-conference-in-august-2021-in-tokyo,2021-08-16,2021-08-17,0,confirmed
International Conference on Ocular Infections in August 2021 in Kuala Lumpur,August 2021 in Kuala Lumpur,online,English,https://waset.org/ocular-infections-conference-in-august-2021-in-kuala-lumpur,2021-08-23,2021-08-24,0,confirmed
International Conference on Ophthalmology and Macular Degeneration in August 2021 in Kuala Lumpur,August 2021 in Kuala Lumpur,online,English,https://waset.org/ophthalmology-and-macular-degeneration-conference-in-august-2021-in-kuala-lumpur,2021-08-23,2021-08-24,0,confirmed
International Conference on Recurrent Corneal Erosion and Treatment in August 2021 in Kuala Lumpur,August 2021 in Kuala Lumpur,online,English,https://waset.org/recurrent-corneal-erosion-and-treatment-conference-in-august-2021-in-kuala-lumpur,2021-08-23,2021-08-24,0,confirmed
International Conference on Ocular Motility Diagnosis in August 2021 in Sydney,August 2021 in Sydney,online,English,https://waset.org/ocular-motility-diagnosis-conference-in-august-2021-in-sydney,2021-08-30,2021-08-31,0,confirmed
International Conference on Healthcare and Medical Sciences in September 2021 in Lisbon,September 2021 in Lisbon,online,English,https://waset.org/healthcare-and-medical-sciences-conference-in-september-2021-in-lisbon,2021-09-20,2021-09-21,0,confirmed
International Conference on Ophthalmology and Eye Screening in October 2021 in Beijing,October 2021 in Beijing,online,English,https://waset.org/ophthalmology-and-eye-screening-conference-in-october-2021-in-beijing,2021-10-06,2021-10-07,0,confirmed
International Conference on Genetic Eye Diseases and Recurrent Corneal Erosion in October 2021 in Tokyo,October 2021 in Tokyo,online,English,https://waset.org/genetic-eye-diseases-and-recurrent-corneal-erosion-conference-in-october-2021-in-tokyo,2021-10-07,2021-10-08,0,confirmed
International Conference on Medical and Clinical Sciences in October 2021 in Los Angeles,October 2021 in Los Angeles,online,English,https://waset.org/medical-and-clinical-sciences-conference-in-october-2021-in-los-angeles,2021-10-28,2021-10-29,0,confirmed
International Conference on Ocular Inflammation and Immunology in November 2021 in San Francisco,November 2021 in San Francisco,online,English,https://waset.org/ocular-inflammation-and-immunology-conference-in-november-2021-in-san-francisco,2021-11-01,2021-11-02,0,confirmed
International Conference on Ocular Microbiology and Immunology in November 2021 in San Francisco,November 2021 in San Francisco,online,English,https://waset.org/ocular-microbiology-and-immunology-conference-in-november-2021-in-san-francisco,2021-11-01,2021-11-02,0,confirmed
International Conference on Ocular Refraction and Corneal Degeneration in November 2021 in San Francisco,November 2021 in San Francisco,online,English,https://waset.org/ocular-refraction-and-corneal-degeneration-conference-in-november-2021-in-san-francisco,2021-11-01,2021-11-02,0,confirmed
International Conference on Ocular Refraction and  Therapeutics and Immunotherapy in November 2021 in San Francisco,November 2021 in San Francisco,online,English,https://waset.org/ocular-refraction-therapeutics-and-immunotherapy-conference-in-november-2021-in-san-francisco,2021-11-01,2021-11-02,0,confirmed
International Conference on Ocular Side Effects of Drugs and Eye Disease in November 2021 in San Francisco,November 2021 in San Francisco,online,English,https://waset.org/ocular-side-effects-of-drugs-and-eye-disease-conference-in-november-2021-in-san-francisco,2021-11-01,2021-11-02,0,confirmed
International Conference on General Ophthalmology and Corneal Transplantation in November 2021 in Cape Town,November 2021 in Cape Town,online,English,https://waset.org/general-ophthalmology-and-corneal-transplantation-conference-in-november-2021-in-cape-town,2021-11-04,2021-11-05,0,confirmed
International Conference on Medical and Clinical Case Reports in November 2021 in Amsterdam,November 2021 in Amsterdam,online,English,https://waset.org/medical-and-clinical-case-reports-conference-in-november-2021-in-amsterdam,2021-11-04,2021-11-05,0,confirmed
International Conference on Corneal Disorders and Transplantation in November 2021 in Tokyo,November 2021 in Tokyo,online,English,https://waset.org/corneal-disorders-and-transplantation-conference-in-november-2021-in-tokyo,2021-11-11,2021-11-12,0,confirmed
International Conference on Pediatric Optometry and Ophthalmology in November 2021 in Bangkok,November 2021 in Bangkok,online,English,https://waset.org/pediatric-optometry-and-ophthalmology-conference-in-november-2021-in-bangkok,2021-11-29,2021-11-30,0,confirmed
International Conference on Ophthalmology and Color Vision in December 2021 in Tokyo,December 2021 in Tokyo,online,English,https://waset.org/ophthalmology-and-color-vision-conference-in-december-2021-in-tokyo,2021-12-02,2021-12-03,0,confirmed
International Conference on Clinical Ophthalmology in December 2021 in New York,December 2021 in New York,online,English,https://waset.org/clinical-ophthalmology-conference-in-december-2021-in-new-york,2021-12-09,2021-12-10,0,confirmed
